2022-12-10 18:31:33,385 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 2
2022-12-10 18:31:33,386 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 3
2022-12-10 18:31:33,386 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,386 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 2
2022-12-10 18:31:33,386 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,387 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,387 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 3
2022-12-10 18:31:33,387 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 2
2022-12-10 18:31:33,387 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,387 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 3
2022-12-10 18:31:33,388 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 3
2022-12-10 18:31:33,388 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 4
2022-12-10 18:31:33,388 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,388 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 3
2022-12-10 18:31:33,389 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,389 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,389 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 4
2022-12-10 18:31:33,389 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 3
2022-12-10 18:31:33,389 DEBUG   SenderThread:155967 [sender.py:send():303] send: summary
2022-12-10 18:31:33,390 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 4
2022-12-10 18:31:33,390 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,390 INFO    SenderThread:155967 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-10 18:31:33,390 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 4
2022-12-10 18:31:33,391 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,391 DEBUG   SenderThread:155967 [sender.py:send():303] send: summary
2022-12-10 18:31:33,391 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 4
2022-12-10 18:31:33,391 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 5
2022-12-10 18:31:33,392 INFO    SenderThread:155967 [sender.py:_save_file():1171] saving file wandb-summary.json with policy end
2022-12-10 18:31:33,392 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,392 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,392 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 5
2022-12-10 18:31:33,392 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 4
2022-12-10 18:31:33,393 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,393 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 5
2022-12-10 18:31:33,393 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 5
2022-12-10 18:31:33,393 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 6
2022-12-10 18:31:33,393 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,394 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 5
2022-12-10 18:31:33,394 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,394 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,394 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 6
2022-12-10 18:31:33,395 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 5
2022-12-10 18:31:33,395 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,395 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 6
2022-12-10 18:31:33,395 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 6
2022-12-10 18:31:33,396 INFO    SenderThread:155967 [sender.py:transition_state():463] send defer: 7
2022-12-10 18:31:33,396 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,396 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 6
2022-12-10 18:31:33,396 DEBUG   HandlerThread:155967 [handler.py:handle_request():139] handle_request: defer
2022-12-10 18:31:33,397 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
2022-12-10 18:31:33,397 INFO    HandlerThread:155967 [handler.py:handle_request_defer():162] handle defer: 7
2022-12-10 18:31:33,397 INFO    SenderThread:155967 [sender.py:send_request_defer():459] handle sender defer: 6
2022-12-10 18:31:33,397 DEBUG   SenderThread:155967 [sender.py:send_request():317] send_request: defer
